group,design,mean_goals,std_goals,z_within_object,n_active_fingers,n_active_joints,object_type,pool_index
best,gen_0003_10683,7.699999809265137,3.3181328773498535,+3.497,2,12,screwdriver,1083
best,gen_0003_23160,7.5,3.5566840171813965,+2.673,2,11,hammer,360
best,gen_0003_01449,7.400000095367432,2.4979987144470215,+2.470,2,11,brush,249
best,gen_0003_11065,7.300000190734863,2.865309715270996,+2.726,2,12,hammer,265
best,gen_0003_09270,7.300000190734863,3.8483760356903076,+3.190,2,11,marker,870
worst,gen_0003_01043,0.0,0.0,-2.486,2,8,spatula,1043
worst,gen_0003_02686,0.0,0.0,-2.483,2,11,hammer,286
worst,gen_0003_15395,0.0,0.0,-2.365,2,7,brush,995
worst,gen_0003_11658,0.0,0.0,-2.325,2,11,screwdriver,858
worst,gen_0003_16191,0.0,0.0,-2.310,2,8,eraser,591
